Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2018-06-28,243.21444702148438,243.98657168616904,241.05962189268874,241.77790606886717,76650500
2018-06-29,243.56463623046875,245.70148755057133,243.44791331638405,244.31881421407934,97592500
2018-07-02,244.08535766601562,244.2469887552047,241.73303485383371,241.97546778774537,63554800
2018-07-03,243.22341918945312,245.09093074339435,242.79247606142135,244.99215467672633,42187100
2018-07-05,245.20765686035156,245.27051187428538,243.2773174590208,244.36371732932446,56925900
2018-07-06,247.28170776367188,247.65878308932625,244.8485553825674,245.23464522516267,66493700
2018-07-09,249.50827026367188,249.56213815641587,248.2513071000756,248.29618787744826,50550400
2018-07-10,250.4061279296875,250.5049040085875,249.66989679514035,249.9661976320958,51966800
2018-07-11,248.57461547851562,249.63408173245105,248.2693548289929,248.83499533242588,77054700
2018-07-12,250.82809448242188,250.88196237646451,249.23893680867846,249.84945787432358,60124700
2018-07-13,251.0255584716797,251.33081893062035,250.19057891636533,250.64848330464432,48216000
2018-07-16,250.8011932373047,251.21418961206302,250.3522757952533,251.07056014238324,48201000
2018-07-17,251.8157501220703,252.21079966161471,249.96621245954248,250.02008036041252,52315500
2018-07-18,252.34552001953125,252.45325584287684,251.44768495864918,251.8966024890902,44593500
2018-07-19,251.39373779296875,252.0581267606467,250.90889934101142,251.67206438211724,61412100
2018-07-20,251.1063690185547,251.82465312314085,250.94476536992417,251.18717084286996,82337700
2018-07-23,251.5733184814453,251.77980294678719,250.54977367155797,250.89994239064887,47047600
2018-07-24,252.83921813964844,253.69217206935033,251.9593576645252,253.00084921036196,68026900
2018-07-25,254.9940948486328,255.31730225585133,252.54299574490744,252.5878765293279,78882900
2018-07-26,254.39251708984375,255.08384004407264,254.16805838265645,254.26683446168602,57919500
2018-07-27,252.6686553955078,254.82345321317564,251.7348996279468,254.724677147503,76768700
2018-07-30,251.34890747070312,252.91113152981987,250.81916073366506,252.74952781330748,63742500
2018-07-31,252.58778381347656,253.20729184965927,251.734857424342,252.1209197078367,68570500
2018-08-01,252.1658935546875,253.30616139856951,251.51049162212172,252.79438893634276,53853300
2018-08-02,253.5395050048828,253.71006835710395,250.63948962135908,250.8460014262893,63426400
2018-08-03,254.62596130371094,254.6798292011158,253.48569354257066,253.6652714670832,53935400
2018-08-06,255.5596466064453,255.87386678793854,254.26676262633194,254.66181203135196,39400900
2018-08-07,256.40374755859375,256.7898374931087,256.09848689856744,256.2331840895458,43196600
2018-08-08,256.2958679199219,256.6999044666468,255.82900377238045,256.2330403191054,42114600
2018-08-09,255.94570922851562,256.7537548671964,255.81103952202497,256.3587054616659,35717000
2018-08-10,254.23089599609375,255.0389418067135,253.51261174240972,254.49127575053814,77076000
2018-08-13,253.2792205810547,255.1287582086719,252.9829197321161,254.50924996061372,65732900
2018-08-14,254.89523315429688,255.13766602803366,253.620323387686,254.01537279699173,43842000
2018-08-15,252.9918670654297,253.67423022259624,251.53737919861996,253.53057337899583,102925400
2018-08-16,255.03890991210938,255.91879773793204,254.41041469370188,254.44633575182957,69967900
2018-08-17,255.936767578125,256.3856849459951,254.4194246827447,254.8324209892575,65618500
2018-08-20,256.4845275878906,256.75386711862575,255.93683400906414,256.3947386110627,39807500
2018-08-21,257.0860290527344,257.9569299579387,256.5203887102131,257.00522720376637,67272000
2018-08-22,256.93341064453125,257.4631299171632,256.40366397215416,256.6730308665443,44993300
2018-08-23,256.59222412109375,257.6247286971879,256.2689893339435,256.7538278147966,49204900
2018-08-24,258.13641357421875,258.28007038647837,257.1218561749534,257.17572405458384,57487400
2018-08-27,260.1745910644531,260.2823268663563,259.1869672140971,259.34857091695187,57072400
2018-08-28,260.30029296875,260.749210395821,259.83340130875916,260.64144719753796,46943500
2018-08-29,261.700927734375,261.93434617763404,260.273373524698,260.5157790849178,61485500
2018-08-30,260.6413879394531,261.59309047648986,260.03985406779697,261.21601526733747,61229500
2018-08-31,260.6503601074219,261.0992774066872,259.73457868082625,260.228376750123,66140800
2018-09-04,260.2015686035156,260.5606971366023,259.1870106327265,260.22850255850335,57594400
2018-09-05,259.5011901855469,260.0488836593822,258.4776727652097,259.84237179224044,72452400
2018-09-06,258.7201232910156,259.9142317223697,257.6786314577809,259.6089711263826,65909900
2018-09-07,258.21734619140625,259.2049701511287,257.41825990589246,257.66069288676704,73524800
2018-09-10,258.6662292480469,259.51019621039103,258.4687044823973,259.24082931191674,50210900
2018-09-11,259.51910400390625,259.96802134513405,257.6606070350255,258.0107483133184,50530500
2018-09-12,259.58197021484375,260.1924912493347,258.7829115608244,259.52810232354994,59810800
2018-09-13,261.11724853515625,261.3058135462071,260.3720578049106,260.6593714791157,51034200
2018-09-14,261.1622009277344,261.5123422651672,260.3721018897649,261.32380462193413,55079900
2018-09-17,259.779541015625,261.14424016996986,259.5012143946714,261.1083465025699,68244000
2018-09-18,261.1891784667969,261.790712562179,259.9681086407649,259.99504259429324,61930400
2018-09-19,261.4674072265625,261.8893906070153,261.1172385620481,261.242948564614,49080600
2018-09-20,263.58624267578125,263.9094773463676,261.4853132160415,262.74230344642376,100360600
2018-09-21,263.3454895019531,264.45483521968595,263.18315428192614,264.33758394174174,105479700
2018-09-24,262.4706115722656,262.9035329587654,261.88438278397274,262.7592258299321,53409600
2018-09-25,262.22723388671875,263.0389377903818,261.9837309727549,262.93071427306455,44370000
